,Zone,clusters
1,Afghanistan,4
108,Afrique du Sud,3
2,Albanie,1
3,Algérie,3
4,Angola,4
104,Arabie saoudite,1
5,Argentine,3
0,Arménie,3
6,Australie,1
25,Azerbaïdjan,3
7,Bahamas,3
8,Barbade,3
131,Belgique,1
9,Bolivie (État plurinational de),3
40,Bosnie-Herzégovine,1
10,Botswana,3
11,Brésil,3
12,Bulgarie,3
29,Bélarus,1
26,Bénin,4
16,Cabo Verde,3
64,Cambodge,5
14,Cameroun,5
15,Canada,1
20,Chili,3
50,Chine - RAS de Hong-Kong,1
73,Chine - RAS de Macao,1
24,Chypre,1
21,Colombie,3
22,Congo,3
23,Costa Rica,3
52,Croatie,1
57,Côte d'Ivoire,4
27,Danemark,1
32,El Salvador,3
33,Estonie,1
111,Eswatini,4
34,Fidji,3
35,Finlande,1
36,France,1
101,Fédération de Russie,1
38,Gabon,3
39,Gambie,4
41,Ghana,4
44,Grenade,3
43,Grèce,1
45,Guatemala,3
46,Guinée,4
97,Guinée-Bissau,4
47,Guyana,3
37,Géorgie,3
48,Haïti,4
49,Honduras,3
51,Hongrie,1
54,Indonésie,3
55,Iran (République islamique d'),3
56,Iraq,4
53,Islande,1
59,Jamaïque,3
60,Japon,3
61,Jordanie,3
58,Kazakhstan,3
63,Kenya,4
62,Kirghizistan,3
42,Kiribati,3
66,Koweït,1
70,Lesotho,3
67,Lettonie,1
69,Liban,3
71,Libéria,4
72,Lituanie,1
83,Macédoine du Nord,3
74,Malaisie,3
75,Mali,4
79,Maroc,3
77,Maurice,3
76,Mauritanie,3
78,Mexique,3
133,Monténégro,1
80,Mozambique,4
13,Myanmar,5
82,Namibie,4
86,Nicaragua,3
87,Niger,4
88,Nigéria,5
89,Norvège,1
85,Nouvelle-Zélande,1
119,Oman,3
127,Ouzbékistan,3
90,Pakistan,3
91,Panama,3
93,Paraguay,3
95,Philippines,3
96,Pologne,1
94,Pérou,3
100,Roumanie,1
123,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,1
17,République centrafricaine,4
65,République de Corée,1
81,République de Moldova,3
28,République dominicaine,3
68,République démocratique populaire lao,4
115,République-Unie de Tanzanie,4
102,Sainte-Lucie,3
103,Sao Tomé-et-Principe,4
132,Serbie,3
105,Sierra Leone,4
107,Slovaquie,3
106,Slovénie,1
134,Soudan,4
18,Sri Lanka,3
113,Suisse,1
109,Suriname,3
112,Suède,1
110,Tadjikistan,4
19,Tchad,4
92,Tchéquie,1
116,Thaïlande,3
98,Timor-Leste,4
117,Togo,4
118,Trinité-et-Tobago,3
120,Tunisie,3
114,Turkménistan,3
121,Turquie,5
124,Ukraine,3
126,Uruguay,3
84,Vanuatu,3
128,Viet Nam,3
130,Zambie,4
99,Zimbabwe,4
31,Égypte,3
122,Émirats arabes unis,1
30,Équateur,3
125,États-Unis d'Amérique,2
129,Éthiopie,5
